,student_id,subject_ave,study_time,mes_dengdi,mes_z,mes_T,study_performance,composite_scores
0,13012,0.0,163.5,0.0,0.0,0.0,69,30.150000000000002
1,13564,37.031486146095716,155.91666666666666,0.626865660622807,-0.31243863116666665,77.50049122807017,82,57.91370696893367
2,13599,48.454048257372655,180.58333333333334,0.5795724309302326,-0.1305805475658915,78.95535550387596,76,67.17616711349419
3,13685,31.566731517509727,128.91666666666666,0.6848607626865673,-0.6809205661417911,71.56756126865672,54,45.788378728923476
4,13947,59.873734177215184,161.08333333333334,0.2933713873076923,0.6084509589230769,84.23403053846154,83,74.61994725738396
5,13948,61.8359872611465,177.41666666666666,0.1947354134920635,0.7923918367460318,86.33913484126984,81,77.22685774946922
6,13949,59.85173501577287,132.91666666666666,0.32360875477272727,0.4586291510606061,83.66903295454546,50,65.18788117770767
7,13950,60.064465408805034,162.16666666666666,0.43329772404411765,0.2250525223235294,81.80042007352941,95,77.26179245283019
8,13951,54.41981132075472,138.16666666666666,0.5894466405147059,-0.2504331247205882,77.996535,80,67.91053459119496
9,13952,57.57389937106918,149.41666666666666,0.43515634378787876,0.2494028643257576,81.38916196969697,91,73.44339622641509
10,13953,60.08603896103896,142.75,0.2843703385123967,0.6252628738842976,85.00210355371901,85,73.33522727272727
11,13954,-0.9637681159420289,152.75,0.932128064,-4.070497932,47.4360148,91,32.80036231884058
12,13955,62.72364217252396,146.33333333333334,0.24309490036153844,0.6886942446153846,85.47332323076924,58,70.13988285410011
13,13956,-0.6287878787878788,180.58333333333334,0.8910088357142857,-4.396758385714286,44.82593095238095,63,30.21818181818182
14,13957,60.18867924528302,144.75,0.3452295208372093,0.4018412811627907,82.59457573643411,88,74.20707547169812
15,13958,60.082131661442006,156.33333333333334,0.4227784625757576,0.2532480288409091,80.81386295454546,59,69.49082549634274
16,13959,60.41798107255521,144.83333333333334,0.3646414822686567,0.3400184759701492,82.72014798507463,84,73.57592008412198
17,13960,65.61240625,160.0,0.19701331542753622,1.1140354523188407,88.33186898550726,92,80.32868437500001
18,13961,58.729166666666664,144.0,0.3169221151363636,0.6373308125,85.07244325757576,68,69.11041666666667
19,13962,51.60610932475884,169.83333333333334,0.09259794775892857,1.1419318678571428,86.2783117857143,80,69.10760986066452
20,13963,54.64006514657981,138.25,0.551859392,-0.18854150619130433,78.49166747826087,82,68.47304560260586
21,13964,59.90952380952381,152.25,0.35156188256000004,0.48479603578400005,83.87836872,68,70.76166666666667
22,13965,63.07120253164557,174.66666666666666,0.1934090152015504,0.8855145026356589,87.05212604651163,68,75.21650843881855
23,13966,64.82861635220125,174.75,0.29086626488721806,0.5932426290473685,84.74594157894737,62,75.25503144654088
24,13967,53.74285714285714,171.83333333333334,0.17961135357391303,1.0176864673826087,86.72722643478261,51,65.00333333333333
25,13968,62.57993730407524,142.83333333333334,0.28546816421052634,0.6426277751127819,84.53951864661654,67,71.489289446186
26,13969,56.74018691588785,151.83333333333334,0.4775623306201551,0.11992548503875967,80.95940317829458,65,67.90146417445483
27,13970,55.28006329113924,155.58333333333334,0.5455175902255639,-0.26580779806917293,77.87353827067669,52,64.6543776371308
28,13971,47.88360655737705,144.83333333333334,0.531391078318584,-0.10815275625663716,79.13477823008849,97,67.40185792349727
29,13972,54.71543408360129,150.91666666666666,0.5272851466129033,-0.12496646493306451,79.00026822580645,97,72.79247052518757
30,13973,56.919093851132686,158.0,0.3488150519655172,0.5275347425344827,84.22027827586207,57,67.04336569579289
31,13974,60.03616352201258,160.25,0.2875771945801527,0.6260870619694656,85.00869679389312,78,73.6503144654088
32,13975,65.0754716981132,155.58333333333334,0.16533785358139536,0.9741967220930232,87.7885676744186,76,76.31116352201258
33,13976,61.69620253164557,124.83333333333333,0.2466696267910448,0.7061256022388059,83.8579604477612,60,67.67067510548523
34,13977,64.71855345911949,133.25,0.3248854940601504,0.5424738637593985,84.33979067669173,59,70.42798742138365
35,13978,59.879746835443036,139.75,0.4287672032330827,0.27097827293233084,82.14752526315789,54,66.69082278481012
